backend,operation,precondition,-----,etc--,etcs-,etc-u,etcsu,et-s-,et--u,et-su,e---u
git,write_note,Blind,Ok,Ok,Ok,Ok,Ok,Ok,Ok,Ok,Ok
git,write_note,Absent,Ok,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError
git,write_note,Head,N/A,Ok,ConcurrencyError,ConcurrencyError,ConcurrencyError,N/A,N/A,N/A,N/A
git,write_note,Index,N/A,N/A,Ok,N/A,ConcurrencyError,Ok,N/A,ConcurrencyError,N/A
git,write_note,Workdir,N/A,SKIP:Head,SKIP:Index,Ok,Ok,SKIP:Index,Ok,Ok,Ok
git,write_note,Wrong,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError
git,edit_note,Exists,NoFile,Ok,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError
git,edit_note,Head,N/A,Ok,ConcurrencyError,ConcurrencyError,ConcurrencyError,N/A,N/A,N/A,N/A
git,edit_note,Index,N/A,N/A,Ok,N/A,ConcurrencyError,Ok,N/A,ConcurrencyError,N/A
git,edit_note,Workdir,N/A,SKIP:Head,SKIP:Index,Ok,Ok,SKIP:Index,Ok,Ok,Ok
git,edit_note,Wrong,NoFile,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError
git,delete_note,Exists,Ok,Ok,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError
git,delete_note,Head,N/A,Ok,ConcurrencyError,ConcurrencyError,ConcurrencyError,N/A,N/A,N/A,N/A
git,delete_note,Index,N/A,N/A,Ok,N/A,ConcurrencyError,Ok,N/A,ConcurrencyError,N/A
git,delete_note,Workdir,N/A,SKIP:Head,SKIP:Index,Ok,Ok,SKIP:Index,Ok,Ok,Ok
git,delete_note,Wrong,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError
git,update_frontmatter,Exists,NoFile,Ok,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError
git,update_frontmatter,Head,N/A,Ok,ConcurrencyError,ConcurrencyError,ConcurrencyError,N/A,N/A,N/A,N/A
git,update_frontmatter,Index,N/A,N/A,Ok,N/A,ConcurrencyError,Ok,N/A,ConcurrencyError,N/A
git,update_frontmatter,Workdir,N/A,SKIP:Head,SKIP:Index,Ok,Ok,SKIP:Index,Ok,Ok,Ok
git,update_frontmatter,Wrong,NoFile,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError
git,manage_tags,Exists,NoFile,Ok,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError
git,manage_tags,Head,N/A,Ok,ConcurrencyError,ConcurrencyError,ConcurrencyError,N/A,N/A,N/A,N/A
git,manage_tags,Index,N/A,N/A,Ok,N/A,ConcurrencyError,Ok,N/A,ConcurrencyError,N/A
git,manage_tags,Workdir,N/A,SKIP:Head,SKIP:Index,Ok,Ok,SKIP:Index,Ok,Ok,Ok
git,manage_tags,Wrong,NoFile,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError
git,create_from_template,Blind,Ok,Ok,Ok,Ok,Ok,Ok,Ok,Ok,Ok
git,create_from_template,Absent,Ok,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError
git,move_note | src,Exists,NoFile,Ok,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError,ConcurrencyError
